label,var0,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var73,var74,var75,var76,var77,var78,var79,var80,var81,var82,var83,var84,var85,var86,var87,var88,var89,var90,var91,var92,var93,var94,var95,var96,var97,var98,var99,var100,var101,var102,var103,var104,var105,var106,var107,var108,var109,var110,var111,var112,var113,var114,var115,var116,var117,var118,var119,var120,var121,var122,var123,var124,var125,var126,var127,var128,var129,var130,var131,var132,var133,var134,var135,var136,var137,var138,var139,var140,var141,var142,var143,var144,var145,var146,var147,var148,var149,var150,var151,var152,var153,var154,var155,var156,var157,var158,var159,var160,var161,var162,var163,var164,var165,var166,var167,var168,var169,var170,var171,var172,var173,var174,var175,var176,var177,var178,var179,var180,var181,var182,var183,var184,var185,var186,var187,var188,var189,var190,var191,var192,var193,var194,var195,var196,var197,var198,var199,var200,var201,var202,var203,var204,var205,var206,var207,var208,var209,var210,var211,var212,var213,var214,var215,var216,var217,var218,var219,var220,var221,var222,var223,var224,var225,var226,var227,var228,var229,var230,var231,var232,var233,var234,var235,var236,var237,var238,var239,var240,var241,var242,var243,var244,var245,var246,var247,var248,var249,var250,var251,var252,var253,var254,var255,var256,var257,var258,var259,var260,var261
Dirty Dasmo,0, 208, 66, 234, 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 100, 108, 236, 206, 0, 0, 0, 100, 0, 260, 200, 0, 0, 0, 100, 100, 102, 100, 236, 0, 100, 0, 200, 0, 100, 244, 200, 100, 1290, 0, 0, 0, 0, 100, 256, 100, 0, 0, 0, 0, 0, 100, 290, 0, 0, 242, 100, 0, 100, 0, 100, 0, 0, 0, 0, 0, 100, 0, 0, 0, 118, 0, 266, 184, 0, 0, 0, 102, 308, 0, 0, 152, 100, 100, 200, 0, 0, 4, 0, 0, 0, 116, 188, 0, 182, 10, 0, 100, 0, 0, 0, 0, 0, 100, 256, 0, 134, 100, 0, 0, 136, 60, 340, 248, 100, 0, 100, 0, 6, 0, 0, 0, 0, 0, 0, 0, 100, 214, 0, 0, 0, 0, 306, 0, 0, 100, 0, 0, 0, 0, 2, 0, 2, 130, 0, 244, 100, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 100, 100, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 100, 2, 0, 0, -80, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
DJ DESUE,0, 0, 100, 100, 0, 0, 266, 100, 100, 414, 0, 0, 0, 0, 0, 0, 204, 100, 0, 0, 342, 222, 100, 222, 0, 100, 0, 0, 436, 0, 0, 0, 952, 100, 0, 0, 0, 200, 0, 100, 0, 278, 124, 0, 0, 200, 200, 0, 90, 0, 0, 0, 0, 100, 0, 0, 0, -10, 0, 100, 912, 314, 202, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 200, 0, 0, 0, 100, 0, 610, 0, 0, 0, 0, 0, 0, 2, 426, 100, 0, -46, 0, 0, 200, 0, 0, 242, 100, 0, 566, 0, 0, 0, 0, 0, 0, 100, 200, 2140, 132, 0, 100, 304, 502, 100, 0, 0, 0, 0, 0, 100, 0, 0, 100, 0, 0, 0, 0, 0, 108, 0, 0, 100, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 100, 54, 0, 100, 0, 0, 0, 0, 0, 224, 0, 100, 0, 12, 100, 0, 0, 100, 0, 0, 100, 0, 0, 222, 266, 100, 0, 0, 270, 0, 0, 0, 138, 0, 0, 0, 100, 0, 0, 0, 0, 0, 308, 100, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 100, 0, 0, 100, 0, 0, 0, 100, 0, 230, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Eko Fresh,0, 100, 100, 0, 0, 0, 300, 0, 100, 200, 0, 0, 0, 0, 0, 0, 236, 100, 0, 0, 162, 0, 0, 0, 0, 0, 0, 100, 248, 0, 0, 0, 100, 104, 0, 0, 100, 100, 328, 100, 100, 436, 0, 0, 100, 100, 200, 0, 0, 100, 0, 102, 0, 0, 0, 0, 384, 146, 0, 0, 200, 832, 0, 0, 200, 0, 0, 100, 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 0, 212, 0, 100, 0, 558, 0, 0, 202, 0, 200, 0, 100, 0, 212, 0, 100, 0, 100, 0, 0, 100, 200, 2, 100, 0, 0, 0, 100, 100, 262, 0, 0, 0, 0, 100, 0, 0, 100, 0, 0, 0, 0, 100, 110, 200, 0, 200, 0, 0, 0, 0, 200, 0, 0, 0, 118, 0, 100, 0, 0, 0, 0, 100, 100, 100, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 200, 0, 100, 100, 206, 0, 0, 0, 0, 100, 200, 36, 384, 0, 0, 0, 100, 292, 0, 0, 224, 100, 100, 0, 0, 0, 0, 0, 0, 100, 0, 166, 100, 0, 100, 0, 0, 0, 100, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 0, 0, 0, 100, 0, 200, 0, 0, 100, 0, 0, 0, 0, 0, 100, 0, 100, 0, 0, 0, 224, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Nazar,0, 0, 100, 0, 0, 0, 0, 0, 100, 518, 0, 0, 0, 0, 0, 0, 248, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 246, 0, 0, 0, 0, 200, 0, 0, 0, 256, 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 2, 100, 0, 0, 100, 220, 0, 414, 0, 200, 100, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 100, 0, 2, 0, 0, 0, 0, 0, 56, 100, 0, 0, 100, 0, 0, 0, 0, 0, 112, 0, 218, 100, 0, 0, 200, 108, 100, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 216, 0, 0, 0, 2, 0, 0, 204, 100, 0, 2, 0, 0, 112, 0, 0, 340, 0, 0, 0, 0, 0, 0, 0, 0, 256, 0, 0, 0, 0, 0, 2, 0, 0, 48, 200, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 8, 0, 0, 0, 2, 0, 0, 100, 0, 0, 0, 0, 24, 0, 100, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 100, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0
TRETTMANN,0, 0, 0, 0, 0, 0, 128, 4, 0, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 100, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 102, 0, 200, 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 250, 0, 0, 0, 0, 0, 0, 200, 100, 0, 0, 0, 0, 354, 0, 0, 0, 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 248, 0, 0, 0, 0, 100, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 100, 0, 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 236, 0, 130, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 100, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 0, 114, 0, 0, 0, 100, 0, 0, 0, 200, 0, 0, 0, 100, 0, 0, 0, 0, 0
Summer Cem,0, 0, 204, 100, 100, 0, 0, 0, 148, 332, 2, 0, 0, 0, 0, 0, 0, 248, 100, 0, 100, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 100, 0, 0, 228, 0, 0, 0, 100, 100, 0, 0, 0, 0, 324, 14, 0, 0, 0, 134, 0, 0, 100, 0, 244, 200, 0, 658, 0, 0, 100, 0, 0, 0, 0, 0, 272, 0, 0, 0, 0, 0, 0, 0, 290, 100, 2, 0, 0, 0, 0, 100, 0, 100, 0, 590, 0, 0, 100, 0, 0, 44, 100, 0, 12, 0, 0, 0, 100, 0, 0, 200, 314, 0, 102, 0, 0, 0, 200, 100, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 202, 0, 0, 230, 0, 0, 0, 0, 0, 0, 602, 106, 100, 0, 0, 0, 106, 0, 0, 100, 292, 100, 0, 0, 240, 0, 0, 0, 0, 0, 0, 0, 268, 200, 0, 0, 0, 132, 2, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 100, 100, 0, 6, 0, 0, 0, 0, 0, 0, -64, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 100, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 202, 0, 0, 0, 0, 20, 0, 0, 0
grim104,0, 100, 0, 266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 102, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 44, 0, 0, 0, 0, 100, 0, 0, 12, 0, 0, 0, 0, 168, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 100, 200, 100, 200, 100, 0, 0, 0, 0, 100, 100, 0, 200, 0, 0, 0, 146, 0, 0, 0, 0, 0, 100, 200, 2, 100, 0, 0, 0, 0, 0, 200, 0, 100, 0, 200, 100, 0, 0, 200, 0, 0, 0, 290, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 70, 0, 100, 0, 0, 0, 0, 0, 0, 200, 266, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 212, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 198, 0, 0, 0, 100, 100, 0, 0, 100, 0, 0, 100, 0, 0, 0, 0, 0, 0
Blumio Japsensoul,0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
KD-Beatz,0, 0, 100, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 100, 102, 0, 0, 0, 0, 0, 0, 0, 0, 104, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 100, 0, 100, 0, 0, 54, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 226, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 100, 0, 100, 0, 0, 0, 0, 0, 0, 200, 100, 100, 0, 0, 0, 0, 212, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 0, 100, 100, 0, 0, 200, 0, 100, 0, 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 222, 0, 0, 0, 0, 0, 0, 0, 100, 200, 100, 0, 6, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 202, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 100, 100, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0
Christian Fu Mueller,0, 0, 202, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R16KOREA,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
FLER,0, 100, 0, 100, 0, 0, 2, 0, 100, 192, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 26, 0, 0, -6, 100, 100, 0, 0, 0, 0, 122, 0, 100, 0, 0, 0, 0, 100, 100, 0, 0, 0, 0, 0, 0, 0, 0, 2, 100, 0, 0, 100, 0, 0, 0, 0, 0, 100, 0, 100, 0, 0, 1486, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 142, 100, 100, 0, 0, 0, 0, 100, 0, 0, 0, 10, 0, 0, 0, 0, 100, 0, 100, 0, 330, 0, 108, 0, 0, 0, 0, 100, 0, -4, 100, 0, 0, 0, 100, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 22, 0, 0, 100, 100, 0, 0, 0, 0, 0, 348, 0, 0, -4, 0, 0, 122, 0, 0, 4, -6, 0, 2, 100, 0, 0, 0, 100, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 294, 0, 0, 100, 0, 0, 0, 100, 0, 0, 100, 100, 0, 0, 0, 100, 0, 0, 0, 0, 0, 100, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 0, 100, 0, 0, 0, 100, 100, 100, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0
Punch Arogunz,0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, -84, 0, 0, 2, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 298, 0, 0, 0, 100, 0, 0, 4, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 190, 722, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 100, 0, 0, 0, 0, 32, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 8, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 44, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Weekend #MFDDNSGD,100, 100, 100, 100, 0, 0, 0, 100, 302, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 432, 0, 200, 662, 0, 100, 144, 0, 0, 0, 0, 100, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 830, 0, 0, 0, 200, 8, 100, 0, 0, 32, 0, 100, 0, 124, 100, 202, 224, 0, 0, 0, 40, 0, 262, 100, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 112, 0, 200, 0, 0, 0, 0, 6, 0, 0, 200, 0, 276, 0, 0, 0, 0, 0, 368, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 100, 100, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 100, 2, 0, 0, 0, 0, 0, 0, 200, 0, 0, 172, 0, 0, 100, 0, 0, 0, 200, 0, 0, 0, 0, 0, 242, 0, 0, 0, 0, 100, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 108, 0, 0, 320, 0, 0, 100, 0, 0, 102, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 100, 0, 0, 0, 0, 0, 200, 0, 100, 0, 0, 0, 0
Juh-Dee,2, 0, 22, 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 662, 0, 0, 0, 0, 0, 0, 0, 212, 0, 0, 0, 0, 0, 58, 200, 0, 0, 0, 0, 0, 0, 0, 0, 322, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 26, 0, 460, 0, 0, 2, 0, 0, 0, 0, 0, 306, 0, 0, 0, 0, 0, 0, 0, 100, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 100, 10, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 404, 54, 0, 0, 0, 12, 0, 0, 0, 0, 610, 0, 0, 0, 304, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 390, 0, 0, 0, 0, 0, 0, 102, 0, 0, 102, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0
dcvdn$,0, 0, 102, 100, 0, 0, 0, 0, 100, 100, 0, 0, 0, 0, 0, 212, 28, 100, 0, 0, 0, 0, 2, 200, 0, 0, 0, 0, 756, 0, 0, 20, 0, 0, 22, 0, 100, 378, 246, 100, 104, 0, 0, 0, 810, 122, 406, 100, 0, 0, 0, 12, 0, 0, 0, 6, 100, 0, 100, 100, 0, 608, 2, 0, 0, 104, 0, 0, 0, 0, 46, 0, 0, 0, 420, 52, 102, 2, 2, 0, 0, 104, 0, 138, 0, 0, 0, 100, 114, 0, 0, 0, 2, 0, 100, 0, 46, 0, 2, 102, 0, 0, 100, 0, 0, 0, 0, 204, 296, 0, 38, 142, 0, 100, 0, 100, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 268, 200, 0, 0, 0, 376, 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 14, 4, 218, 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 220, 0, 0, 0, 4, 0, 0, 4, 0, 0, 100, 2, 0, 540, 0, 0, 0, 200, 0, 0, 2, 0, 112, 0, 2, 0, 0, 100, 0, 16, 0, 0, 510, 0, 100, 0, 0, 0, 100, 100, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 100, 0, 0, 100, 0, 108, 4, 100, 4, 0, 0, 0, 0, 0, 0, 0, 0, 100, 100, 0, 0, 0, 200, 0, 0, 0, 106, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
